36437,Asian foods Vegetable Samosa (80gm X 120pcs),Export
36438,Asian foods Aloo Tikka (40gm X 240pcs),Export
36439,Asian foods Pakora (15gm X 480pcs),Export
36503,Maxim Vegetable Spring Roll (400gm x 20Pack),Export
36504,Maxim Paratha (2000g x 6pack),Export
36505,Maxim Dal Puri (454gm x 20Pack),Export
36506,Maxim Vegetable Samosa (400gm x 20Pack),Export
36507,Maxim Vegetable Singara (400gm x 20Pack),Export
36508,Maxim Mini Dal Puri (454gm x 20Pack),Export
36509,Maxim Mini Aloo Puri (454gm x 20Pack),Export
36510,Maxim Aloo Puri (454gm x 20Pack),Export
36524,Taza Kachur Mukhi (400gm × 24 Pack),Export
36525,Taza  Green Olive (400gm × 24 Pack),Export
36526,Taza Lal Saag (400gm × 24 Pack),Export
36527,Taza Data (400gm × 24 Pack),Export
36528,Taza Califlower (400gm × 24 Pack),Export
36529,Taza Seem (400gm × 24 Pack),Export
36633,Taza Frozen Green Chilli (300gm X 24poly),Export
36634,Taza Frozen Kachur Lati (300gm X 24poly),Export
36635,Taza Frozen Kachur Mukchi (300gm X 24poly),Export
36636,Taza Frozen Lal shag (300gm X 24poly),Export
36637,Taza Frozen Been seed (300gm X 24poly),Export
36638,Taza Frozen Seem (300gm X 24poly),Export
36653,Jhotpot Tandori Nan 425 gm X 10pack,Export
36717,TAZA DATA 300gm X 24pcs,Export
36738,Jhotpot Rosh Malai (500gm X 12pack),Export
36739,Jhotpot Cham cham (500gm X 12pack),Export
36740,Jhotpot Khalojam (500gm X 12pack),Export
36741,Jhotpot Roshgolla (500gm X 12pack),Export
36746,OZ FRESH KACHUR MUKHI (300gm X 24pcs),Export
36747,OZ FRESH LAL SAAG (300gm X 24pcs),Export
36748,OZ FRESH DATA (300gm X 24pcs),Export
36749,OZ FRESH GREEN CHILLI (300gm X 24pcs),Export
36750,OZ FRESH KACHUR LATI (300gm X 24pcs),Export
36751,OZ FRESH BEEN SEED (300gm X 24pcs),Export
36752,OZ FRESH OKRA (300gm X 24pcs),Export
36753,OZ FRESH GREEN PEA (300gm X 24pcs),Export
36759,PALONG SHAK (300gm X 24pcs),Export
36760,RADISH MULA (300gm X 24pcs),Export
36761,GREEN PEA (300gm X 24pcs),Export
36800,PRAN Jhotpot Aloo Samosa (50 gm X 25 pcs),Export
36801,PRAN Jhotpot Aloo Samosa-Hot & spicy (50gm X 25pcs,Export
36803,MEXIM SINGARA (400GM X 20PCS),Export
36804,MEXIM POTATO CHOP (454GM X 20PCS),Export
36805,MEXIM ROTI CHAPATI (1000GM X 10PCS),Export
36806,MEXIM RICE FLOUR ROTI (400GM X 20PCS),Export
36807,MEXIM PANJABI SAMOSA HOT (1500GM X 6PCS),Export
36808,MEXIM ROSHMALAI (400GM X 20PCS),Export
36809,MEXIM CHAM CHAM (400GM X 20PCS),Export
36810,MEXIM KALOJAM (400GM X 20PCS),Export
36811,MEXIM ROSHGOLLA (400GM X 20PCS),Export
36812,TAZA FROZEN POTOL (300GM X 24PCS),Export
36813,TAZA FROZEN KAKROL (300GM X 24PCS),Export
36814,TAZA FROZEN GREEN PEA (300GM X 24PCS),Export
36825,TAZA Potol 400gm X 24pcs,Export
36826,TAZA Kakrol 400gm X 24pcs,Export
36831,DUBBO PANJABI VEG. SAMOSA HOT & SPICY (1500GM X 6P,Export
36832,DUBBO VEGETABLES SAMOSA (1500GM X 6PCS),Export
36833,DUBBO COCKTAIL(SAMOSA+SPRING ROLL) (1600GM X 6PCS),Export
36843,OZ FRESH FROZEN PARATHA (2400 GM X 6 P),Export
36844,OZ FRESH FROZEN ALOO PURI (454GM X 20 P),Export
36845,OZ FRESH FROZEN ALOO PURI- MINI (454GM X 20 P,Export
36846,OZ FRESH FROZEN DAL PURI (454GM X 20 P),Export
36847,OZ FRESH FROZEN DAL PURI- MINI (454GM X 20 P),Export
36848,OZ FRESH FROZEN VEGETABLE SINGARA (400GM X 20 P),Export
36849,OZ FRESH FROZEN VEGETABLE SINGARA -MINI (400GM X 2,Export
36850,OZ FRESH FROZEN VEGETABLE SAMOSA (400GM X 20 P),Export
